,nombre,country,latitude,longitude,name,iso
0,España,ES,40.463667,-3.74922,Spain,ES
1,Alemania,DE,51.165691,10.451526,Germany,DE
2,Argentina,AR,-38.416097,-63.616672,Argentina,AR
3,Bizcaia,BZ,43.26271,-2.92528,Bizcaia,BZ
4,Honduras,HO,15.0000000,-86.5000000,Honduras,HO
5,México,MX,23.0000000,-102.0000000,México,MX
6,Chile,CH,-30.0000000,-71.0000000,Chile,CH
7,Nicaragua,NI,13.0000000,-85.0000000,Nicaragua,NI
8,Venezuela,VZ,8.0000000,-66.0000000,Venezuela,VZ
9,Colombia,CO,4.0000000,-72.0000000,Colombia,CO
10,EEUU,EU,38.0000000,-97.0000000,EEUU,EU
11,Cuba,CU,21.5000000,-80.0000000,Cuba,CU
12,Francia,FR,46.0000000,2.0000000,Francia,FR
